ville,avg_actual,avg_pred,avg_gap,avg_gap_pct,count
Hammamet sud,2800.0,1670.6543749025882,1129.3456250974118,18.125565880338286,9
Sahel,748.75,750.1710819678784,-1.4210819678784077,-2.9261888547452877,8
Gremda,746.25,891.4661884825401,-145.21618848254008,-39.53124095770453,8
Route Menzel Chaker,687.5,832.631724124995,-145.13172412499503,-25.75178496403972,8
Alain Savary,3271.25,2193.7824855700146,1077.4675144299854,23.463960439554,8
hammamet-nord,118937.5,40138.7877463859,78798.71225361411,15.441224478959926,8
Mornaguia,173330.0,208656.77777249517,-35326.77777249518,-34.286729443336796,8
HerGlA,930.0,881.5082862057736,48.491713794226314,-46.29026517963421,8
Borj Baccouche,1380.0,1221.3650544083296,158.6349455916705,11.222601102445516,8
hammamet-centre,317143.75,295799.24678895366,21344.50321104632,3.684983438876471,8
El Agba,645.0,768.3438498615062,-123.3438498615062,-24.550655138223362,8
chott-meriam,289302.75,275536.27038423484,13766.479615765136,-9.342868776614136,8
Cite Mahrajene,2362.5,1433.904175008559,928.5958249914411,25.808777635157227,8
Ras Jebel,329534.71428571426,284168.18480278354,45366.52948293077,-15.01015235845036,7
Rades plage,675.7142857142857,903.4208662288116,-227.70658051452583,-39.75769704245517,7
Ennasr2,1382.857142857143,1206.754815296636,176.1023275605069,-7.047289563760958,7
Bhelwan,564.2857142857143,637.4013695643586,-73.11565527864423,-30.047449046924953,7
Gabes Sud,208264.2857142857,224454.94376179462,-16190.658047508909,-8.384078348732741,7
La Medina,166002.85714285713,123649.35508214276,42353.502060714374,3.2859563438309323,7
Bokhrise,785.7142857142857,942.1895496480835,-156.47526393379763,-32.41442595467039,7
kairouan,380490.0,303039.0935501584,77450.90644984157,2.5654240526297762,7
manouba,407950.0,459362.7884257804,-51412.7884257804,-13.626534283742744,7
la-marsa,288871.4285714286,167721.5412807723,121149.88729065626,28.52089358388695,7
bouhsina,515500.0,472181.1153151462,43318.88468485382,6.592224836995868,6
