,surface,pieces,etage,prix,has_ascenseur,has_balcon,has_chaffage,has_climatisation,has_garage,has_gardien,has_jardin,has_parking,has_piscine,has_terrasse,gouvernerat,ville,type,contrat,latitude,longitude,price_per_m2,surface_per_piece,etage_x_ascenseur,nlp_transaction_negociable,nlp_transaction_urgent,nlp_transaction_first_owner_or_new_mentioned,nlp_transaction_developer_or_promoter_mentioned,nlp_transaction_legal_title_or_status_mentioned,nlp_transaction_legal_title_hint,nlp_property_subtype,nlp_property_furnished,nlp_property_semi_furnished,nlp_property_condition,nlp_property_orientation_mentioned,nlp_property_duplex_penthouse_garden_level_mentioned,nlp_comfort_air_conditioning,nlp_comfort_heating_mentioned,nlp_comfort_double_glazing_mentioned,nlp_comfort_finishing_quality_hint,nlp_location_neighborhood_or_zone,nlp_location_proximity_count,nlp_location_proximity_str,nlp_location_nuisance_or_negative_mentioned,nlp_usage_primary_residence_likely,nlp_usage_investment_likely,nlp_usage_furnished_rental_likely,nlp_standing_luxury_level,nlp_standing_features_count,nlp_standing_features_str,nlp_signals_listing_too_vague,nlp_signals_incoherence_price_vs_surface_hint,nlp_signals_spam_or_low_quality_hint,nlp_signals_extraction_confidence,vis_pool_likely_mean,vis_pool_likely_max,vis_garden_likely_mean,vis_garden_likely_max,vis_sea_view_likely_mean,vis_sea_view_likely_max,vis_furnished_likely_mean,vis_furnished_likely_max,vis_modern_renovation_likely_mean,vis_modern_renovation_likely_max,vis_luxury_visual_score_mean,vis_luxury_visual_score_max,vis_n_images,bge_pca_0,bge_pca_1,bge_pca_2,bge_pca_3,bge_pca_4,bge_pca_5,bge_pca_6,bge_pca_7,bge_pca_8,bge_pca_9,bge_pca_10,bge_pca_11,bge_pca_12,bge_pca_13,bge_pca_14,bge_pca_15,bge_pca_16,bge_pca_17,bge_pca_18,bge_pca_19,bge_pca_20,bge_pca_21,bge_pca_22,bge_pca_23,bge_pca_24,bge_pca_25,bge_pca_26,bge_pca_27,bge_pca_28,bge_pca_29,bge_pca_30,bge_pca_31
42,75.0,3.0,,110000.0,,,,1.0,,,,,,,Ben Arous,Ben Arous,Appartement,vente,36.7516855,10.2245072,1466.6666666666667,25.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,172.0,3.0,1.0,185000.0,,,,,,,,,,1.0,Nabeul,Nabeul,Appartement,vente,36.4512897,10.7355915,1075.5813953488373,57.333333333333336,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,90.0,3.0,1.0,265000.0,,1.0,1.0,1.0,,,,,,1.0,Nabeul,Nabeul,Appartement,vente,36.4512897,10.7355915,2944.4444444444443,30.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,78.0,2.0,,220000.0,,,,1.0,,,,,,1.0,Nabeul,Nabeul,Appartement,vente,36.4512897,10.7355915,2820.5128205128203,39.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,85.0,4.0,0.0,630000.0,,,1.0,1.0,1.0,,1.0,,,1.0,Nabeul,Nabeul,Appartement,vente,36.4512897,10.7355915,7411.764705882353,21.25,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,133.0,2.0,0.0,350000.0,,,1.0,,,,,,,1.0,Nabeul,Nabeul,Appartement,vente,36.4512897,10.7355915,2631.5789473684213,66.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,40.0,2.0,,390000.0,1.0,,1.0,1.0,,,,1.0,,1.0,Nabeul,Nabeul,Appartement,vente,36.4512897,10.7355915,9750.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,255.0,2.0,0.0,690000.0,,,1.0,1.0,,,1.0,,1.0,1.0,Nabeul,Nabeul,Appartement,vente,36.4512897,10.7355915,2705.8823529411766,127.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,105.0,3.0,,115000.0,,,,,,,,1.0,,,Ben Arous,Ben Arous,Appartement,vente,36.7516855,10.2245072,1095.2380952380952,35.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,105.0,3.0,,155000.0,,,,,,,,1.0,,,Ben Arous,Ben Arous,Appartement,vente,36.7516855,10.2245072,1476.1904761904761,35.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
