,surface,pieces,etage,has_ascenseur,has_balcon,has_chaffage,has_climatisation,has_gardien,has_jardin,has_parking,has_piscine,has_terrasse,latitude,longitude,price_per_m2,surface_per_piece,etage_x_ascenseur,type,contrat,gouvernerat
485,154.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8479251,10.2611996,2207.7922077922076,38.5,0.0,285532.6189391474,285532.6189391474,293441.4203821656
2229,89.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.8832,10.599,3651.6853932584268,29.666666666666668,0.0,285532.6189391474,285532.6189391474,281505.570214618
3705,180.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.1815,3833.3333333333335,36.0,0.0,285532.6189391474,285532.6189391474,293441.4203821656
3865,107.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.1815,2537.88748564868,37.75,0.0,285532.6189391474,285532.6189391474,293441.4203821656
258,170.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8548083,10.3309924,1764.7058823529412,85.0,0.0,285532.6189391474,285532.6189391474,293441.4203821656
386,200.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8625,10.1956,2400.0,50.0,0.0,285532.6189391474,285532.6189391474,320375.0034842321
2554,55.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.1815,3454.5454545454545,27.5,0.0,285532.6189391474,285532.6189391474,293441.4203821656
1736,106.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.4512897,10.7355915,2641.509433962264,106.0,0.0,285532.6189391474,285532.6189391474,300305.12820512813
2836,156.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.8065,10.188232,2147.4358974358975,39.0,0.0,285532.6189391474,285532.6189391474,277143.4970760234
1661,106.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.8245,10.6346,3490.566037735849,35.333333333333336,0.0,285532.6189391474,285532.6189391474,281505.570214618
